sentiment,text
Negative,"Marco Rubio's campaign slogan needs to be ""from bar back to president"" #GOPDebates"
Negative,"Every time they say ""wedge issues"" I think they mean wedgies #GOPDebates"
Positive,"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates."
Neutral,#GOPdebates bash Hillary night slick Willy is lovin it
Negative,"Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush #morningjoe https://t.co/cNSR5CHHAL"
Neutral,RT @IanGaryTweets: This is real life. These people are running for the most powerful office in the world. #GOPDebates http://t.co/LG74nHDeTw
Negative,"RT @SupermanHotMale: Dear Jeb Bush, Your Record, Sir is clear, you are a fucking ememy of the voting public... PERIOD. #GopDebates"
Positive,Cruz:  New Sheriff in town.  Nice summary.  He cherishes freedom - your freedom.  #GOPDebates
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Negative,RT @annleary: When did it become acceptable to have God be a topic in political debates in this country?  #GOPDebates #shameful
Negative,RT @monaeltahawy: Seriously: GOP voters think God talks to presidential candidates? #ChristianBrotherhood #GOPDebates
Positive,"I'm loving @tedcruz and @RealBenCarson 's closing statements. I hate they didn't get a lot of questions, tho. 
#GOPDebates"
Negative,"RT @SupermanHotMale: Total Theatre on Fox news tonight, no basis in fact at all... it's all garbage. #GopDebates"
Negative,RT @kerrydiaries: Honestly not sure if I'm watching Mean Girls or #GOPDebates ?? Do you even go here??
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,@JebBush didn't have to tell us what his Daddy did for a living. #FoxDebate #GopDebates
Negative,We don't win anymore? Is this the playground? #GOPDebates
Negative,We don't win anymore? Freedom won several weeks ago! #GOPDebates
Negative,Santorum said he wants to make America the #1 manufacturing country.  Manufacturing is 20th century thinking. We need high tech. #GOPDebates
Positive,"'It wasn't too late for Wisconsin, it's not too late for America. Oh, and pass the cheese'. Scott Walker. #GOPDebates"
Neutral,I've been using the wrong hashtag! #GOPDebates #GOPDebate
Neutral,"RT @KyleAlexLittle: ""I don't know why the fuck I'm here""- Rand Paul #GOPDebates"
Negative,RT @monaeltahawy: Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America #…
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,Reminder: Bush #GOPDebates you run FLORIDA
Negative,Anyone but Rand Paul... #GOPDebates
Positive,"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates."
Negative,Republican candidates: All of our states are awesome. But for some reason not enough to stop country from sucking #GOPdebates
Negative,RT @Lattisaw: No minority in their right mind should be voting for anyone of these #GOP candidates! They don't have a clue about our issues…
Neutral,Ehh I'll say 1. Rubio 2. Trump 3. Walker 4. Kasich 5. Bush 6. Cruz 7. Carson  8. Christie 9. Huckabee     10. Rand Paul  #GOPDebates
Neutral,"Retweeted Shawn Drury (@ShawnDrurySC):

Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates"
Neutral,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Negative,Wow look at all the diversity in the GOP!  #GOPDEBATES
Negative,Huckabee is such a card.  #Gopdebates #VoteYall
Neutral,Bush's closing statement provided by Moody's. #GOPDebates
Negative,RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
Negative,".@thepoliticalcat
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush #morningjoe"
Neutral,"RT @heyLFJ: Well, would ya look at that! Women.are.watching. #GOPdebates  https://t.co/1mtTUG98Ch"
Neutral,RT @IanGaryTweets: This is real life. These people are running for the most powerful office in the world. #GOPDebates http://t.co/LG74nHDeTw
Negative,#Bush is an idiot.... Sadly the idiot brother ran first.... #GOPDebates
Negative,"Did Scott Walker say he had a wife, two kids and a harlot? #GOPDebates #FoxDebates #ClownCarChronicles"
Negative,"RT @SupermanHotMale: Dear Ted Cruz, what do scriptures say about you lying about our very good President? That's what I thought #GopDebates"
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,"RT @BrendanKKirby: If @JohnKasich hasn't wrapped up the mailman vote by the end of this debate, he ought to drop out. #GOPdebates #LZDebates"
Negative,Fox Debate commentators should be ashamed for the way they've treated Trump! #GOPdebates
Positive,"Dr. Carson remark on DC having half a brain, best line #GOPDebates."
Negative,#gopdebates @Govmikehuckabee Have you no shame? U ever gone back  looked at the words you learned at seminary u know not bear false witness
Neutral,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Negative,"RT @SupermanHotMale: Dear friends, it may seem like this is fun to me but I'm really mad about how Republicans treat people who can't affor…"
Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Negative,Shout out to Bernie Sanders for slipping under the radar of these democrat jokes #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @BlkPoliticSport: The Fox debate did not address the Voting Rights Act, Voter Suppression, Voter ID laws.  No surprise there at all.  #G…"
Negative,RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
Positive,"""I'll be my best to do that"" #GOPDebates"
Negative,"RT @steven_br: God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t…"
Neutral,RT @IanGaryTweets: This is real life. These people are running for the most powerful office in the world. #GOPDebates http://t.co/LG74nHDeTw
Neutral,Walter refused to mention the Bucks. #GOPdebates
Negative,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…"
Neutral,@HillaryClinton they comin for you girl #GOPDebates
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,RT @monaeltahawy: Perhaps they'll talk about racism if they're asked if God told them #BlackLiveeMatter #GOPDebates
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,"Unless you're talking about our schools, air quality, water quality... #Kasich #GOPDebates  https://t.co/znljf0zJd9"
Neutral,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Positive,Why watch 10 contenders debate when you can just watch Megyn Kelly? #GOPdebates
Negative,".@waltb31 @EricBoehlert @PeterHamby
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #ObviousAsHell"
Neutral,"Well, would ya look at that! Women.are.watching. #GOPdebates  https://t.co/1mtTUG98Ch"
Neutral,RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
Negative,"#gopdebates @chrischristie putting 'terrorists' in jail, means locking up college students for calling vivisectors delusional. #count28"
Negative,"RT @BlkPoliticSport: The Fox debate did not address the Voting Rights Act, Voter Suppression, Voter ID laws.  No surprise there at all.  #G…"
Negative,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates"
Neutral,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Neutral,".@WMUR9_Politics Before running for POTUS, GOP candidates praised @HillaryClinton's Sec Of State Tenure  https://t.co/J9oEBXYGof #gopdebates"
Positive,"Carson getting in some zingers at the end. Not riding for him at ALL, but I'll give him credit for being a medical trailblazer. #GOPDebates"
Neutral,Is that Ben Carson or Johnny Carson? #GOPDebates
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,Freedom isn't free...did Ben Carson just go all Team America on this shit? #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Negative,RT @annleary: When did it become acceptable to have God be a topic in political debates in this country?  #GOPDebates #shameful
Neutral,Ben Carson's was determined to get that joke out #GOPDebates
